ID,noise,X,Y_Z_1,Y_Z_0,S_inclusion_prob,Z,Z_cond_prob,Y,condition
0001,0.17198632318088486,0.8571306486852471,2.0698975453546935,1.029116971866132,0.8043136576905147,1,0.5,2.0698975453546935,Treatment
0005,1.0730377836767346,0.7577838188816174,2.600402325435159,1.830821602558352,0.7757097946076807,0,0.5,1.830821602558352,Control
0007,1.9209609654491064,0.8023364157056448,3.6096166212366914,2.7232973811547514,0.7888208085375182,1,0.5,3.6096166212366914,Treatment
0010,-0.48521840520600934,0.1494396411045819,-0.3658341719867859,-0.33577876410142743,0.5593966330893684,1,0.5,-0.3658341719867859,Treatment
0011,0.6402402926146924,0.7645344238775245,2.191533275140931,1.4047747164922169,0.7777255846396187,1,0.5,2.191533275140931,Treatment
0014,-0.22977976285695378,0.031213214192492383,-0.2122246262802548,-0.1985665486644614,0.5124502491759962,1,0.5,-0.2122246262802548,Treatment
0015,-0.0797461419162514,1.2294872370110734,3.5582752085355325,1.149741095094822,0.890555409903639,1,0.5,3.5582752085355325,Treatment
0016,-0.5116026231896927,1.7079445288519464,6.1765186685068745,1.1963419056622535,0.9561766821433869,0,0.5,1.1963419056622535,Control
0022,1.531073142237355,-0.10190511663733066,1.5008898895124254,1.4291680256000243,0.4594159943097169,1,0.5,1.5008898895124254,Treatment
0023,-1.7960787205460824,1.0208889343711458,0.7987941792823978,-0.7751897861749366,0.846346468805873,0,0.5,-0.7751897861749366,Control
0024,0.4412792607454186,0.06361888659520927,0.4811834295062515,0.5048981473406279,0.5253631535615985,1,0.5,0.4811834295062515,Treatment
0026,-0.9865465141335661,0.9362877002526848,1.234866651281699,-0.05025881388088127,0.825437460395525,0,0.5,-0.05025881388088127,Control
0027,-0.43121658215123065,1.3108507905465556,3.660868403275107,0.879634208395325,0.9050459104868003,0,0.5,0.879634208395325,Control
0029,1.6212295781355193,1.5589359157535803,7.261259914865217,3.1801654938890995,0.9404942257013894,0,0.5,3.1801654938890995,Control
0030,-0.4917663965765045,1.5553018842208375,5.123812447655689,1.063535487644333,0.940062905585622,0,0.5,1.063535487644333,Control
0031,-0.8264954534824626,0.918200656828646,1.3187897673329743,0.09170520334618348,0.8207430875659478,1,0.5,1.3187897673329743,Treatment
0032,-0.4945776942029853,0.9461218108142034,1.768776173000811,0.4515441166112181,0.8279567698114496,1,0.5,1.768776173000811,Treatment
0035,0.1721892389390373,-0.7123698460475654,0.8309459110309185,-0.5401806071085281,0.23811789146955234,1,0.5,0.8309459110309185,Treatment
0039,0.7995770756610999,0.2535252954526131,1.054889874256076,1.053102371113713,0.6000688417168386,0,0.5,1.053102371113713,Control
0040,-0.5488004617236238,-0.04100672165983515,-0.5659407201109671,-0.5898071833834589,0.4836452686307246,1,0.5,-0.5659407201109671,Treatment
