ID,U,Y_Z_0,Y_Z_1,R_Z_0,R_Z_1,Z,Z_cond_prob,R,Y
001,-1.736738199518569,2,3,1,1,0,0.5,1,2
002,-0.016972722969305784,4,4,1,1,0,0.5,1,4
003,-1.3379644013674863,3,3,1,1,0,0.5,1,3
004,-0.18012998550117987,4,4,1,1,1,0.5,1,4
005,-1.4597386856301033,3,3,1,0,1,0.5,0,NA
006,-0.7592754953501648,3,4,1,1,1,0.5,1,4
007,0.1816087308695012,4,5,1,1,0,0.5,1,4
008,-1.3697587440561438,3,3,1,0,0,0.5,1,3
009,1.8983353189728138,6,6,1,1,1,0.5,1,6
010,-1.3937986306447856,3,3,1,1,1,0.5,1,3
011,-1.9211721205746466,2,3,0,0,1,0.5,0,NA
012,3.8643775866548875,7,7,1,1,0,0.5,1,7
013,1.3588103659892603,5,6,1,1,1,0.5,1,6
014,0.3297253750054187,4,5,1,1,1,0.5,1,5
015,0.9996835925966772,5,5,1,1,0,0.5,1,5
016,-0.3707663036534364,4,4,1,1,0,0.5,1,4
017,0.14953814249893582,4,5,1,1,1,0.5,1,5
018,-0.9395259172899122,3,4,1,1,0,0.5,1,3
019,-0.29329691601727453,4,4,1,1,1,0.5,1,4
020,0.15454434901342756,4,5,1,1,0,0.5,1,4
021,0.05224004771339092,4,5,1,1,1,0.5,1,5
022,0.029616844458471927,4,5,1,1,1,0.5,1,5
023,0.20107973661354797,4,5,1,1,0,0.5,1,4
024,-0.4373704877402619,4,4,1,1,1,0.5,1,4
025,0.25004955171514326,4,5,1,1,1,0.5,1,5
026,1.7172488398221182,6,6,1,1,1,0.5,1,6
027,0.21147810570757566,4,5,1,1,1,0.5,1,5
028,-0.18367186229120008,4,4,1,1,1,0.5,1,4
029,-0.13088333155289253,4,4,1,1,1,0.5,1,4
030,1.998488936959844,6,6,1,1,0,0.5,1,6
031,-1.3717235610203775,3,3,1,0,0,0.5,1,3
032,0.5483811900412318,5,5,1,1,1,0.5,1,5
033,-1.1092947090993976,3,3,0,1,1,0.5,1,3
034,0.14234067919534993,4,5,1,1,1,0.5,1,5
035,-0.4538753280481792,4,4,1,1,1,0.5,1,4
036,-0.6903829212139349,3,4,1,1,0,0.5,1,3
037,0.3563933887288448,4,5,1,1,0,0.5,1,4
038,0.7681648574961613,5,5,1,1,1,0.5,1,5
039,0.7631873866606091,5,5,1,1,1,0.5,1,5
040,0.8152060011041644,5,5,1,1,1,0.5,1,5
041,1.4990572540640767,5,6,1,1,1,0.5,1,6
042,0.41726209196167097,4,5,1,1,0,0.5,1,4
043,-0.5150167875102877,3,4,1,1,0,0.5,1,3
044,1.6215203010637762,6,6,1,1,1,0.5,1,6
045,0.26337850773283134,4,5,1,1,1,0.5,1,5
046,-0.9698826980174305,3,4,1,1,1,0.5,1,4
047,0.35789948318994086,4,5,1,1,1,0.5,1,5
048,-0.15567508592268245,4,4,1,1,0,0.5,1,4
049,1.2597865461775517,5,6,1,1,0,0.5,1,5
050,0.9513488208015499,5,5,1,1,1,0.5,1,5
051,-0.3030014856848057,4,4,1,1,0,0.5,1,4
052,-0.09228188225416137,4,4,1,1,0,0.5,1,4
053,-0.5490010254292788,3,4,1,1,0,0.5,1,3
054,-1.2425175100755201,3,3,1,1,1,0.5,1,3
055,-0.024740090248263298,4,4,1,1,1,0.5,1,4
056,-1.4221988478782768,3,3,0,0,0,0.5,0,NA
057,-0.4435121042510723,4,4,1,1,1,0.5,1,4
058,0.1922915251252707,4,5,1,1,0,0.5,1,4
059,-1.7249566025049512,2,3,1,1,0,0.5,1,2
060,0.3093056195755027,4,5,1,1,1,0.5,1,5
061,1.8414868836927563,6,6,1,1,0,0.5,1,6
062,-0.8194365085580825,3,4,1,1,1,0.5,1,4
063,0.6120331990174689,5,5,1,1,0,0.5,1,5
064,-0.9584251138771824,3,4,1,1,0,0.5,1,3
065,0.10312149496796795,4,5,1,1,1,0.5,1,5
066,-0.787273057515451,3,4,1,1,0,0.5,1,3
067,-0.007486068639816553,4,4,0,1,0,0.5,0,NA
068,0.32793272993447387,4,5,1,1,0,0.5,1,4
069,-0.6748907598079689,3,4,1,0,1,0.5,0,NA
070,-0.7813518694324688,3,4,1,1,0,0.5,1,3
071,-1.3449882389525027,3,3,1,1,0,0.5,1,3
072,0.3637607536486364,4,5,1,1,1,0.5,1,5
